Deutsch	                Englisch

Handgranate	            Grenade
Panzergranate	        Frag Grenade
Hypergranate	        Pineapple
Mörser	                Potato Masher
Granatwerfer	        Cluster Bomb
Sprengladung	        Tallboy

Dicke Berta	            Blaster Mine
Risikohaubitze	        Hazardous Shell
Panikbombe	            Calamity Bomb
Chaosgranate	        Chaos Grenade

Heißes Eisen	        Heat Blaster
Feuersturm	            Firestorm
Flammenseele	        Burning Soul
Höllenfeuer	            Brimstone
Utgardlodern	        Abaddon Flame

Gewitterfront	        Thunderbolt
Donnerschlag	        Rolling Thunder
Blitzeinschlag	        Lightning Bolt
Elektroschock	        Electroshock
Taifun	                Thunderblast

Strömung	            Waterfall
Wasserfall	            Flash Flood
Flutwelle	            Tidal Wave
Aquatoxin	            Aqua Toxin
Dunkler Regen	        Dark Rain

Kalter Schnee	        Snow Flurry
Eisiger Wind	        Icefall
Wintersturm	            Winter Storm
Eis Kontamina	        Black Ice
Kokytos	                Krysta

Lebensloch	            Nega Burst
Wurmloch	            Black Hole
Supernova	            Sunburst

Ultra-Potion	        Ultra-Potion
Allesheiler	            Panacea
Ultraheiler	            Ultra Cure
Mega Phönix	            Mega Phoenix
Final Phönix	        Final Phoenix
Elixier	                Elixir
Endelixier	            Megalixir
Superelixier            Super Elixir
Final-Elixier	        Final Elixir

Exall	                Nulall
Super-Exall	            Super Nulall
Mega-Exall	            Hyper Nulall
Ultra-Exall	            Ultra Nulall
Gesamtabwehr	        Mighty Wall
Impetus	                Mighty G
Infusion	            Super Mighty G
Unfallschutz	        Hyper Mighty G

Vital	                Vitality
Super-Vital	            Mega Vitality
Mega-Vital	            Hyper Vitality
Mental	                Mana
Super-Mental	        Mega Mana
Mega-Mental	            Hyper Mana

MP-Freiheit	            Freedom
MP-Freiheit EX	        Freedom X

Quartett 9	            Quartet of 9
Quartett 99	            Trio of 9999
Heldentrank	            Hero Drink
Heerestrank	            Miracle Drink
Anspornmittel	        Hot Spurs
Exzentrequilla	        Eccentrick
